n	time	number of steps
1	0.4	8
2	0.9	10
3	1.5	12
4	18.4	338
5	18.95	11
6	19.35	8
7	23.1	75
8	23.8	14
9	24.25	9
10	24.7	9
11	25.4	14
12	34.75	187
13	35.35	12
14	35.9	11
15	38	42
16	38.45	9
17	38.9	9
18	39.4	10
19	39.8	8
20	40.3	10
21	40.8	10
22	41.35	11
23	41.75	8
24	42.25	10
25	42.8	11
26	43.75	19
27	57	265
28	57.45	9
29	58.8	27
30	59.25	9
31	61.6	47
32	62.05	9
33	63.3	25
34	65.75	49
35	66.85	22
36	67.6	15
37	68.25	13
38	94.55	526
39	95.2	13
40	95.6	8
41	96.1	10
42	98.85	55
43	99.35	10
44	99.8	9
45	100.3	10
46	104.25	79
47	106.4	43
48	109.2	56
49	109.65	9
50	110.15	10
51	110.8	13
52	122.75	239
53	123.4	13
54	123.9	10
55	129.9	120
56	143.05	263
57	150.9	157
58	153.7	56
59	154.2	10
60	154.8	12
61	155.75	19
62	156.2	9
63	156.7	10
64	157.3	12
65	158.25	19
66	158.65	8
67	160.75	42
68	161.15	8
69	161.65	10
70	162.6	19
71	163.15	11
72	163.7	11
73	164.15	9
74	173.5	187
75	173.95	9
76	174.7	15
77	182.9	164
78	194.4	230
79	194.85	9
80	195.55	14
81	204.15	172
82	204.95	16
83	205.65	14
84	206.15	10
85	208.4	45
86	208.85	9
87	209.65	16
88	210.1	9
89	210.7	12
90	211.2	10
91	212.7	30
92	213.15	9
93	213.9	15
94	220.6	134
95	225.2	92
96	225.65	9
97	236.5	217
98	237.05	11
99	237.5	9
100	238.7	24
101	239.1	8
102	242.45	67
103	249.9	149
104	250.5	12
105	251.1	12
106	251.75	13
107	254	45
108	254.55	11
109	255.2	13
110	256	16
111	256.75	15
112	257.15	8
113	257.9	15
114	265.1	144
115	265.7	12
116	266.2	10
117	275.45	185
118	276.05	12
119	276.85	16
120	279.1	45
121	279.55	9
122	280.15	12
123	283.35	64
124	283.85	10
125	284.35	10
126	284.9	11
127	285.65	15
128	293.8	163
129	294.5	14
130	295.05	11
131	304.8	195
132	307.1	46
133	307.7	12
134	308.25	11
135	309.45	24
136	309.85	8
137	310.55	14
138	311.95	28
139	312.8	17
140	314.5	34
141	316.9	48
142	319.1	44
143	319.6	10
144	320.45	17
145	321.1	13
146	326.25	103
147	326.95	14
148	336.45	190
149	337.15	14
150	350.1	259
151	350.55	9
152	356.75	124
153	357.2	9
154	357.8	12
155	360.15	47
156	360.7	11
157	361.25	11
158	362.75	30
159	363.35	12
160	378.65	306
161	379.2	11
162	380.1	18
163	391.75	233
164	394.7	59
165	395.2	10
166	395.65	9
167	399.6	79
168	400.45	17
169	401.1	13
170	401.6	10
171	402.2	12
172	403.1	18
173	403.85	15
174	404.3	9
175	405.75	29
176	406.2	9
177	406.75	11
178	407.3	11
179	407.95	13
180	408.65	14
181	410.95	46
182	411.6	13
183	412.15	11
184	412.65	10
185	413.25	12
186	413.75	10
187	414.4	13
188	414.85	9
189	416.85	40
190	420.15	66
191	424.8	93
192	425.35	11
193	425.8	9
194	426.25	9
195	427.5	25
196	427.95	9
197	428.6	13
198	429.25	13
199	429.95	14
200	430.4	9
201	431.7	26
202	432.4	14
203	432.85	9
204	433.4	11
205	434	12
206	434.45	9
207	434.95	10
208	437.4	49
209	437.95	11
210	438.45	10
211	439.85	28
212	442.9	61
213	447.9	100
214	448.35	9
215	448.95	12
216	454.2	105
217	455.55	27
218	456.3	15
219	457.1	16
220	465.3	164
221	469.1	76
222	469.65	11
223	470.15	10
224	470.85	14
225	471.25	8
226	471.9	13
227	472.45	11
228	472.95	10
229	474	21
230	474.6	12
231	475	8
232	477.05	41
233	477.5	9
234	478.3	16
235	478.85	11
236	479.4	11
237	488.4	180
238	488.95	11
239	489.5	11
240	493.25	75
241	493.75	10
242	495.9	43
243	496.4	10
244	517	412
245	517.55	11
246	544.1	531
247	544.7	12
248	545.3	12
249	546.65	27
250	547.1	9
251	550.15	61
252	550.7	11
253	557.6	138
254	558.25	13
255	562.4	83
256	563	12
257	566.15	63
258	566.55	8
259	569.6	61
260	575.7	122
261	577.05	27
262	577.9	17
263	578.4	10
264	579.05	13
265	579.65	12
266	580.15	10
267	580.7	11
268	581.15	9
269	581.6	9
270	582.15	11
271	582.5	7
272	583.5	20
273	584.05	11
274	584.6	11
275	586.4	36
276	586.95	11
277	587.4	9
278	589.85	49
279	590.3	9
280	590.75	9
281	591.2	9
282	593.3	42
283	596.8	70
284	597.55	15
285	598.1	11
286	598.6	10
287	599.05	9
288	599.65	12
289	615.05	308
290	615.65	12
291	616.1	9
292	621.45	107
293	622.3	17
294	622.8	10
295	623.3	10
296	633.45	203
297	634.3	17
298	634.75	9
299	636.25	30
300	637.1	17
Time = 2.12367
