E = 197.754	i = -1.03125
E = 194.951	i = -1.02125
E = 192.169	i = -1.01125
E = 189.406	i = -1.00125
E = 186.664	i = -0.99125
E = 183.941	i = -0.98125
E = 181.239	i = -0.97125
E = 178.556	i = -0.96125
E = 175.894	i = -0.95125
E = 173.251	i = -0.94125
E = 170.629	i = -0.93125
E = 168.026	i = -0.92125
E = 165.444	i = -0.91125
E = 162.881	i = -0.90125
E = 160.339	i = -0.89125
E = 157.816	i = -0.88125
E = 155.314	i = -0.87125
E = 152.831	i = -0.86125
E = 150.369	i = -0.85125
E = 147.926	i = -0.84125
E = 145.504	i = -0.83125
E = 143.101	i = -0.82125
E = 140.719	i = -0.81125
E = 138.356	i = -0.80125
E = 136.014	i = -0.79125
E = 133.691	i = -0.78125
E = 131.389	i = -0.77125
E = 129.106	i = -0.76125
E = 126.844	i = -0.75125
E = 124.601	i = -0.74125
E = 122.379	i = -0.73125
E = 120.176	i = -0.72125
E = 117.994	i = -0.71125
E = 115.831	i = -0.70125
E = 113.689	i = -0.69125
E = 111.566	i = -0.68125
E = 109.464	i = -0.67125
E = 107.381	i = -0.66125
E = 105.319	i = -0.65125
E = 103.276	i = -0.64125
E = 101.254	i = -0.63125
E = 99.2514	i = -0.62125
E = 97.2689	i = -0.61125
E = 95.3064	i = -0.60125
E = 93.3639	i = -0.59125
E = 91.4414	i = -0.58125
E = 89.5389	i = -0.57125
E = 87.6564	i = -0.56125
E = 85.7939	i = -0.55125
E = 83.9514	i = -0.54125
E = 82.1289	i = -0.53125
E = 80.3264	i = -0.52125
E = 78.5439	i = -0.51125
E = 76.7814	i = -0.50125
E = 75.0389	i = -0.49125
E = 73.3164	i = -0.48125
E = 71.6139	i = -0.47125
E = 69.9314	i = -0.46125
E = 68.2689	i = -0.45125
E = 66.6264	i = -0.44125
E = 65.0039	i = -0.43125
E = 63.4014	i = -0.42125
E = 61.8189	i = -0.41125
E = 60.2564	i = -0.40125
E = 58.7139	i = -0.39125
E = 57.1914	i = -0.38125
E = 55.6889	i = -0.37125
E = 54.2064	i = -0.36125
E = 52.7439	i = -0.35125
E = 51.3014	i = -0.34125
E = 49.8789	i = -0.33125
E = 48.4764	i = -0.32125
E = 47.0939	i = -0.31125
E = 45.7314	i = -0.30125
E = 44.3889	i = -0.29125
E = 43.0664	i = -0.28125
E = 41.7639	i = -0.27125
E = 40.4814	i = -0.26125
E = 39.2189	i = -0.25125
E = 37.9764	i = -0.24125
E = 36.7539	i = -0.23125
E = 35.5514	i = -0.22125
E = 34.3689	i = -0.21125
E = 33.2064	i = -0.20125
E = 32.0639	i = -0.19125
E = 30.9414	i = -0.18125
E = 29.8389	i = -0.17125
E = 28.7564	i = -0.16125
E = 27.6939	i = -0.15125
E = 26.6514	i = -0.14125
E = 25.6289	i = -0.13125
E = 24.6264	i = -0.12125
E = 23.6439	i = -0.11125
E = 22.6814	i = -0.10125
E = 21.7389	i = -0.09125
E = 20.8164	i = -0.08125
E = 19.9139	i = -0.07125
E = 19.0314	i = -0.06125
E = 18.1689	i = -0.05125
E = 17.3264	i = -0.04125
E = 16.5039	i = -0.03125
E = 15.7014	i = -0.02125
E = 14.9189	i = -0.01125
E = 14.1564	i = -0.00125
E = 13.4139	i = 0.00875
E = 12.6914	i = 0.01875
E = 11.9889	i = 0.02875
E = 11.3064	i = 0.03875
E = 10.6439	i = 0.04875
E = 10.0014	i = 0.05875
E = 9.37891	i = 0.06875
E = 8.77641	i = 0.07875
E = 8.19391	i = 0.08875
E = 7.63141	i = 0.09875
E = 7.08891	i = 0.10875
E = 6.56641	i = 0.11875
E = 6.06391	i = 0.12875
E = 5.58141	i = 0.13875
E = 5.11891	i = 0.14875
E = 4.67641	i = 0.15875
E = 4.25391	i = 0.16875
E = 3.85141	i = 0.17875
E = 3.46891	i = 0.18875
E = 3.10641	i = 0.19875
E = 2.76391	i = 0.20875
E = 2.44141	i = 0.21875
E = 2.13891	i = 0.22875
E = 1.85641	i = 0.23875
E = 1.59391	i = 0.24875
E = 1.35141	i = 0.25875
E = 1.12891	i = 0.26875
E = 0.926406	i = 0.27875
E = 0.743906	i = 0.28875
E = 0.581406	i = 0.29875
E = 0.438906	i = 0.30875
E = 0.316406	i = 0.31875
E = 0.213906	i = 0.32875
E = 0.131406	i = 0.33875
E = 0.0689062	i = 0.34875
E = 0.0264062	i = 0.35875
E = 0.00390625	i = 0.36875
E = 0.00140625	i = 0.37875
E = 0.0189063	i = 0.38875
E = 0.0564063	i = 0.39875
E = 0.113906	i = 0.40875
E = 0.191406	i = 0.41875
E = 0.288906	i = 0.42875
E = 0.406406	i = 0.43875
E = 0.543906	i = 0.44875
E = 0.701406	i = 0.45875
E = 0.878906	i = 0.46875
E = 1.07641	i = 0.47875
E = 1.29391	i = 0.48875
E = 1.53141	i = 0.49875
E = 1.78891	i = 0.50875
E = 2.06641	i = 0.51875
E = 2.36391	i = 0.52875
E = 2.68141	i = 0.53875
E = 3.01891	i = 0.54875
E = 3.37641	i = 0.55875
E = 3.75391	i = 0.56875
E = 4.15141	i = 0.57875
E = 4.56891	i = 0.58875
E = 4.18109	i = 0.59875
E = 4.62359	i = 0.60875
E = 5.04609	i = 0.61875
E = 5.44859	i = 0.62875
E = 5.83109	i = 0.63875
E = 6.19359	i = 0.64875
E = 6.53609	i = 0.65875
E = 6.85859	i = 0.66875
E = 7.16109	i = 0.67875
E = 7.44359	i = 0.68875
E = 7.70609	i = 0.69875
E = 7.94859	i = 0.70875
E = 8.17109	i = 0.71875
E = 8.37359	i = 0.72875
E = 8.55609	i = 0.73875
E = 8.71859	i = 0.74875
E = 8.86109	i = 0.75875
E = 8.98359	i = 0.76875
E = 9.08609	i = 0.77875
E = 9.16859	i = 0.78875
E = 9.23109	i = 0.79875
E = 9.27359	i = 0.80875
E = 9.29609	i = 0.81875
E = 9.29859	i = 0.82875
E = 9.28109	i = 0.83875
E = 9.24359	i = 0.84875
E = 9.18609	i = 0.85875
E = 9.10859	i = 0.86875
E = 9.01109	i = 0.87875
E = 8.89359	i = 0.88875
E = 8.75609	i = 0.89875
E = 8.59859	i = 0.90875
E = 8.42109	i = 0.91875
E = 8.22359	i = 0.92875
E = 8.00609	i = 0.93875
E = 7.76859	i = 0.94875
E = 7.51109	i = 0.95875
E = 7.23359	i = 0.96875
E = 6.93609	i = 0.97875
E = 6.61859	i = 0.98875
E = 6.28109	i = 0.99875
E = 5.92359	i = 1.00875
E = 5.54609	i = 1.01875
E = 5.14859	i = 1.02875
E = 4.73109	i = 1.03875
E = 4.29359	i = 1.04875
